fy,month,year,ministry,allocated,designated
2021-2022,Oct,2021,International Mission Board,8438109.99,2484771.25
2021-2022,Oct,2021,North American Mission Board,3814809.08,1436373.37
2021-2022,Oct,2021,Gateway Seminary,314346.03,3350.11
2021-2022,Oct,2021,Midwestern Seminary,672671.89,5467.55
2021-2022,Oct,2021,New Orleans Seminary,582206.97,4715.79
2021-2022,Oct,2021,Southeastern Seminary,618975.89,5294.3
2021-2022,Oct,2021,Southern Seminary,895343.18,6981.09
2021-2022,Oct,2021,Southwestern Seminary,585636.17,5239.17
2021-2022,Oct,2021,Historical Library and Archives,40173.51,205.27
2021-2022,Oct,2021,Ethics & Religious Liberty Comm,276192.84,565.54
2021-2022,Oct,2021,GuideStone Financial Resources,0.0,7047.15
2021-2022,Oct,2021,SBC Executive Comm and SBC Operating,500494.92,18449.65
2021-2022,Oct,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2021-2022,Nov,2021,International Mission Board,8286176.17,2420509.08
2021-2022,Nov,2021,North American Mission Board,3746120.9,1241888.02
2021-2022,Nov,2021,Gateway Seminary,308686.02,2920.31
2021-2022,Nov,2021,Midwestern Seminary,660559.97,5082.18
2021-2022,Nov,2021,New Orleans Seminary,571723.95,4532.2
2021-2022,Nov,2021,Southeastern Seminary,607830.82,5049.4
2021-2022,Nov,2021,Southern Seminary,879221.93,7700.82
2021-2022,Nov,2021,Southwestern Seminary,575091.39,4741.22
2021-2022,Nov,2021,Historical Library and Archives,39450.15,242.3
2021-2022,Nov,2021,Ethics & Religious Liberty Comm,271219.8,306.07
2021-2022,Nov,2021,GuideStone Financial Resources,0.0,1637.64
2021-2022,Nov,2021,SBC Executive Comm and SBC Operating,491483.17,26980.32
2021-2022,Nov,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2021-2022,Dec,2021,International Mission Board,8487608.7,3841686.68
2021-2022,Dec,2021,North American Mission Board,3837187.09,1228101.3
2021-2022,Dec,2021,Gateway Seminary,316190.02,2904.88
2021-2022,Dec,2021,Midwestern Seminary,676617.84,4299.47
2021-2022,Dec,2021,New Orleans Seminary,585622.26,4712.3
2021-2022,Dec,2021,Southeastern Seminary,622606.87,7373.92
2021-2022,Dec,2021,Southern Seminary,900595.35,6085.11
2021-2022,Dec,2021,Southwestern Seminary,589071.57,9734.71
2021-2022,Dec,2021,Historical Library and Archives,40409.16,190.04
2021-2022,Dec,2021,Ethics & Religious Liberty Comm,277813.02,1885.95
2021-2022,Dec,2021,GuideStone Financial Resources,0.0,4754.28
2021-2022,Dec,2021,SBC Executive Comm and SBC Operating,503430.86,18670.27
2021-2022,Dec,2021,SBC Executive Comm - Vision 2025,16667.0,0.0
2021-2022,Jan,2022,International Mission Board,10635739.57,24884620.06
2021-2022,Jan,2022,North American Mission Board,4808341.7,2608337.89
2021-2022,Jan,2022,Gateway Seminary,396214.63,3628.59
2021-2022,Jan,2022,Midwestern Seminary,847863.21,6097.7
2021-2022,Jan,2022,New Orleans Seminary,733837.51,5413.24
2021-2022,Jan,2022,Southeastern Seminary,780182.58,6451.67
2021-2022,Jan,2022,Southern Seminary,1128527.24,8726.33
2021-2022,Jan,2022,Southwestern Seminary,738159.83,5758.37
2021-2022,Jan,2022,Historical Library and Archives,50636.33,248.51
2021-2022,Jan,2022,Ethics & Religious Liberty Comm,348124.78,1146.8
