fy,month,year,source,allocated,designated,lottiemoon,anniearmstrong,other_designated
2012-2013,Oct,2012,Alabama,1175377.54,247059.45,108733.27,88151.81,50174.37
2012-2013,Oct,2012,Alaska,20524.22,1492.0,701.0,726.0,65.0
2012-2013,Oct,2012,Arizona,44963.35,7124.07,2238.01,4082.16,803.9
2012-2013,Oct,2012,Arkansas,744215.43,232673.33,123212.09,67047.79,42413.45
2012-2013,Oct,2012,California,135922.77,21120.1,10755.23,7859.75,2505.12
2012-2013,Oct,2012,Colorado,23734.8,15066.62,5150.81,9541.81,374.0
2012-2013,Oct,2012,Dakota,3024.77,2083.21,207.5,1605.5,270.21
2012-2013,Oct,2012,D. C.,2456.81,150.0,150.0,0.0,0.0
2012-2013,Oct,2012,Florida,857317.23,160732.46,46055.58,25038.66,89638.22
2012-2013,Oct,2012,Georgia,1224502.29,276859.13,99378.2,118830.69,58650.24
2012-2013,Oct,2012,Hawaii Pacific,29339.41,2186.72,993.82,893.82,299.08
2012-2013,Oct,2012,Illinois,210257.17,20275.45,10851.09,5766.34,3658.02
2012-2013,Oct,2012,Indiana,126387.48,11432.78,6384.89,3004.65,2043.24
2012-2013,Oct,2012,Iowa,6410.5,1474.37,721.45,496.45,256.47
2012-2013,Oct,2012,Kansas-Nebraska,52206.49,28483.23,19043.77,8432.02,1007.44
2012-2013,Oct,2012,Kentucky,555310.78,137517.08,64888.9,52113.93,20514.25
2012-2013,Oct,2012,Louisiana,594743.62,60614.61,35491.32,20203.25,4920.04
2012-2013,Oct,2012,Maryland-Delaware,144929.02,68094.12,41129.98,22431.62,4532.52
2012-2013,Oct,2012,Michigan,20653.02,9509.66,6017.37,2694.28,798.01
2012-2013,Oct,2012,Minnesota-Wisconsin,7467.23,647.11,583.55,63.56,0.0
2012-2013,Oct,2012,Mississippi,976606.99,97431.19,56455.51,32970.12,8005.56
2012-2013,Oct,2012,Missouri,389323.03,112544.13,67083.83,29065.12,16395.18
2012-2013,Oct,2012,Montana,6217.94,1484.61,238.81,1174.81,70.99
2012-2013,Oct,2012,Nevada,39681.06,1090.05,699.55,184.5,206.0
2012-2013,Oct,2012,New England,7959.0,3152.94,2602.08,196.25,354.61
2012-2013,Oct,2012,New Mexico,45217.28,14788.22,7087.32,3949.71,3751.19
2012-2013,Oct,2012,New York,12492.65,3079.46,1744.51,1132.07,202.88
2012-2013,Oct,2012,North Carolina,658989.83,289886.38,148936.25,120865.03,20085.1
2012-2013,Oct,2012,Northwest,68900.76,9993.65,4179.08,3206.4,2608.17
2012-2013,Oct,2012,Ohio,160850.69,40439.92,18411.3,9197.19,12831.43
2012-2013,Oct,2012,Oklahoma,842827.89,103622.26,72298.34,24065.9,7258.02
2012-2013,Oct,2012,Pennsylvania-South Jersey,14985.48,4677.94,547.9,3106.2,1023.84
2012-2013,Oct,2012,Puerto Rico/Virgin Islands,906.98,525.0,25.0,500.0,0.0
2012-2013,Oct,2012,South Carolina,778474.35,182502.65,100071.21,48234.17,34197.27
2012-2013,Oct,2012,Tennessee,902962.02,207367.27,98330.32,63527.39,45509.56
2012-2013,Oct,2012,Texas - BGCT,897909.65,227312.63,99583.33,65019.04,62710.26
2012-2013,Oct,2012,Texas - SBTC,907214.46,194931.72,114965.04,41630.74,38335.94
2012-2013,Oct,2012,Utah - Idaho,10064.28,1535.98,191.23,994.75,350.0
2012-2013,Oct,2012,Virginia - BGAV,124233.23,22194.9,12723.06,7939.11,1532.73
2012-2013,Oct,2012,Virginia - SBCV,315991.61,65645.64,45782.05,10461.91,9401.68
2012-2013,Oct,2012,West Virginia,46972.93,6225.54,2459.78,1511.49,2254.27
2012-2013,Oct,2012,Wyoming,7231.52,1297.6,203.8,993.8,100.0
2012-2013,Oct,2012,Churches & Individuals,406543.07999999996,160682.61,11963.92,5556.05,143162.64
2012-2013,Nov,2012,Alabama,1626817.17,280245.88,114527.44,89086.58,76631.86
